0103050P0AAAFAF,Omeprazole_Cap E/C 10mg
20030100167,Dressit Ster Dress Pack
20031700015,Flaminal Forte 15g Tube Wound Dress Prot
0101010G0AAABAB,Co-Magaldrox_Susp 195mg/220mg/5ml S/F
0101010N0AAAAAA,Antacid/Oxetacaine_Oral Susp S/F
0101010R0AAABAB,Simeticone_Susp 40mg/ml S/F
0101010R0BCAAAB,Infacol_Susp 40mg/ml S/F
0101021B0AAAHAH,Gppe Liq_Gaviscon S/F
0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F
0101021B0AAAPAP,Sod Alginate/Pot Bicarb_Tab Chble 500mg
0101021B0BCAAAC,Gastrocote_Tab
0101021B0BEADAJ,Gaviscon Infant_Sach 2g (Dual Pack) S/F
0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) S/F
0101021B0BEAJAM,Gaviscon_Liq Sach 10ml (Peppermint) S/F
0101021B0BEAKAQ,Gaviscon Advance_Liq (Peppermint) S/F
0101021B0BEAQAP,Gaviscon Advance_Tab Chble 500mg Mint
0101021B0BEARA0,Gaviscon Double Action_Tab Chble
0101021B0BFAAAF,Topal_Antacid Tab
0101021B0BIAAAH,Peptac_Liq (Aniseed) S/F
0101021B0BIABAH,Peptac_Liq (Peppermint) S/F
0102000A0AAAAAA,Alverine Cit_Cap 60mg
0102000J0AAABAB,Dicycloverine HCl_Tab 10mg
0102000J0AAACAC,Dicycloverine HCl_Tab 20mg
0102000N0AAAAAA,Hyoscine Butylbrom_Inj 20mg/ml 1ml Amp
0102000N0AAABAB,Hyoscine Butylbrom_Tab 10mg
0102000N0BBAAAB,Buscopan_Tab 10mg
0102000P0AAABAB,Mebeverine HCl_Tab 135mg
0102000P0AAADAD,Mebeverine HCl_Cap 200mg M/R
0102000P0BCABAB,Colofac_Tab 135mg
0102000T0AAAAAA,Peppermint Oil_Cap E/C 0.2ml
0102000T0AAAFAF,Peppermint Oil_Cap E/C 0.2ml M/R
0102000T0BBAAAF,Colpermin_Cap E/C 0.2ml M/R
0103010D0AAAAAA,Cimetidine_Tab 200mg
0103010D0AAABAB,Cimetidine_Tab 400mg
0103010D0BBABAB,Tagamet_Tab 400mg
0103010T0AAAAAA,Ranitidine HCl_Tab 150mg
0103010T0AAACAC,Ranitidine HCl_Tab 300mg
0103010T0AAAEAE,Ranitidine HCl_Oral Soln 75mg/5ml S/F
0103010T0AAAIAI,Ranitidine HCl_Tab Eff 150mg
0103030S0AAAAAA,Sucralfate_Tab 1g
0103050E0AAAAAA,Esomeprazole_Tab E/C 20mg
0103050E0AAABAB,Esomeprazole_Tab E/C 40mg
0103050L0AAAAAA,Lansoprazole_Cap 30mg (E/C Gran)
0103050L0AAABAB,Lansoprazole_Cap 15mg (E/C Gran)
0103050L0AAAGAG,Lansoprazole_Orodisper Tab 15mg
0103050L0AAAHAH,Lansoprazole_Orodisper Tab 30mg
0103050P0AAAAAA,Omeprazole_Cap E/C 20mg
0103050P0AAAEAE,Omeprazole_Cap E/C 40mg
0103050P0AAANAN,Omeprazole_Tab Disper 20mg (E/C Pellets)
0103050P0AAAPAP,Omeprazole_Tab Disper 40mg (E/C Pellets)
0103050P0AABDBD,Omeprazole_Tab E/C 20mg
0103050P0AABEBE,Omeprazole_Tab E/C 40mg
0103050P0AABMBM,Omeprazole_Oral Susp 20mg/5ml
0103050P0BBAAAA,Losec_Cap E/C 20mg
0103050R0AAAAAA,Pantoprazole_Tab E/C 40mg
0103050R0AAABAB,Pantoprazole_Tab E/C 20mg
